CreditScore,AppliedLoanAmount,Purpose,ProposedInterestRate,ProposedLoanAmount,ProposedLoanTerm
816,87000,Community Projects,2.85,76000,12
629,66000,Social Enterprise,7.55,53000,12
799,13000,Training and Development,3.91,11000,12
629,24000,Debt Consolidation,7.31,23000,48
820,75000,Education Fees,3.54,63000,72
660,88000,Education Fees,6.3,80000,72
709,6000,Emergency Personal Funds,4.37,5000,60
775,50000,Vehicle for Business Use,3.23,45000,60
620,7000,Community Projects,7.08,5000,24
651,62000,Green Initiatives,6.46,50000,12
803,9000,Home Renovation,2.92,8000,72
739,21000,Vehicle for Business Use,4.39,19000,48
819,90000,Home Renovation,3.93,89000,60
645,43000,Education Fees,7.47,38000,48
666,87000,Green Initiatives,6.12,80000,24
744,54000,Agriculture Expenses,4.08,47000,60
755,12000,Education Fees,3.81,11000,48
755,45000,Education Fees,2.7,40000,60
643,23000,Emergency Business Funds,8.77,20000,36
831,54000,Green Initiatives,3.69,53000,24
696,30000,Business Expansion,6.2,28000,60
728,34000,Training and Development,4.79,30000,24
748,40000,Working Capital,4.03,35000,24
814,72000,Green Initiatives,2.58,60000,36
632,68000,Technology Upgrade,8.46,65000,12
781,74000,Equipment Purchase,3.28,68000,24
820,89000,Home Renovation,3.31,73000,48
634,48000,Training and Development,8.05,41000,36
652,54000,Green Initiatives,6.57,47000,12
610,79000,Marketing and Advertising,7.69,75000,36
673,78000,Emergency Personal Funds,6.0,76000,48
668,32000,Vehicle for Business Use,5.89,25000,48
674,89000,Wedding Expenses,5.52,81000,48
807,98000,Emergency Business Funds,3.83,86000,36
729,17000,Emergency Personal Funds,4.6,15000,48
668,11000,Working Capital,6.04,9000,24
660,65000,Training and Development,5.87,53000,24
721,64000,Healthcare Expenses,5.0,51000,48
735,27000,Emergency Personal Funds,4.58,23000,60
845,90000,Training and Development,2.8,73000,12
703,35000,Technology Upgrade,4.75,33000,24
752,63000,Inventory Purchase,3.83,55000,36
666,43000,Inventory Purchase,5.65,40000,36
724,75000,Home Renovation,5.07,71000,48
606,23000,Startup Capital,6.99,21000,24
799,23000,Childcare Expenses,2.69,20000,60
655,73000,Agriculture Expenses,6.93,66000,72
809,71000,Startup Capital,3.73,60000,24
844,26000,Business Expansion,3.13,25000,72
736,55000,Training and Development,4.97,50000,12
728,99000,Debt Consolidation,5.2,88000,72
632,20000,Startup Capital,7.32,16000,36
622,49000,Business Expansion,7.94,47000,72
826,84000,Business Expansion,3.01,81000,48
725,63000,Travel Costs,4.06,55000,60
794,76000,Business Expansion,3.38,66000,60
818,33000,Marketing and Advertising,2.95,32000,12
649,71000,Education Fees,7.09,68000,48
775,79000,Emergency Personal Funds,2.57,73000,72
709,71000,Travel Costs,4.59,60000,48
661,98000,Inventory Purchase,5.75,90000,36
775,74000,Business Expansion,3.66,60000,60
676,39000,Community Projects,6.41,37000,12
796,23000,Vehicle for Business Use,2.68,19000,48
817,77000,Emergency Business Funds,3.38,71000,24
760,75000,Travel Costs,3.37,61000,72
826,31000,Utility Payments,3.86,29000,36
821,43000,Vehicle for Business Use,2.98,36000,48
747,100000,Startup Capital,5.12,97000,12
849,48000,Emergency Personal Funds,3.89,44000,60
652,98000,Startup Capital,6.73,84000,24
638,73000,Inventory Purchase,7.72,59000,36
622,14000,Green Initiatives,8.68,11000,36
760,19000,Travel Costs,3.51,18000,72
697,84000,Agriculture Expenses,6.32,77000,72
611,73000,Green Initiatives,8.89,72000,12
654,48000,Working Capital,5.6,43000,24
819,70000,Startup Capital,3.37,68000,12
696,82000,Working Capital,6.32,65000,12
671,86000,Community Projects,6.04,83000,36
616,56000,Childcare Expenses,7.82,45000,48
772,79000,Agriculture Expenses,3.47,76000,48
825,85000,Utility Payments,2.81,76000,12
641,65000,Agriculture Expenses,8.62,63000,72
748,21000,Business Expansion,4.05,20000,48
674,37000,Social Enterprise,6.4,31000,36
716,52000,Agriculture Expenses,4.2,48000,72
677,24000,Vehicle for Business Use,5.66,22000,48
651,6000,Debt Consolidation,6.03,5000,72
762,82000,Community Projects,3.82,68000,24
686,92000,Debt Consolidation,5.83,77000,72
797,40000,Education Fees,3.53,34000,60
751,86000,Home Renovation,3.69,70000,48
818,29000,Vehicle for Business Use,2.7,26000,48
787,65000,Marketing and Advertising,3.89,57000,36
693,59000,Debt Consolidation,6.77,58000,48
831,70000,Utility Payments,3.7,60000,36
678,7000,Inventory Purchase,6.36,5000,36
630,25000,Marketing and Advertising,8.12,22000,24
740,97000,Training and Development,4.52,77000,24
681,36000,Debt Consolidation,5.53,32000,72
782,46000,Utility Payments,2.81,45000,36
814,68000,Social Enterprise,3.09,64000,12
723,47000,Business Expansion,5.28,42000,72
685,29000,Working Capital,5.89,26000,12
790,39000,Business Expansion,3.04,32000,48
783,68000,Business Expansion,3.2,62000,72
751,55000,Wedding Expenses,2.76,54000,72
720,25000,Vehicle for Business Use,4.38,20000,72
835,16000,Training and Development,2.74,13000,12
801,89000,Emergency Personal Funds,2.94,82000,60
723,11000,Home Renovation,4.79,9000,72
651,37000,Home Renovation,6.84,31000,72
810,68000,Working Capital,3.35,67000,36
706,27000,Education Fees,4.61,22000,48
753,8000,Social Enterprise,3.43,6000,12
812,94000,Working Capital,3.82,90000,12
660,87000,Training and Development,6.1,79000,12
742,97000,Marketing and Advertising,5.29,84000,12
709,47000,Working Capital,3.96,40000,12
731,57000,Vehicle for Business Use,4.79,52000,72
639,91000,Community Projects,7.14,90000,12
763,99000,Healthcare Expenses,3.41,92000,48
643,90000,Vehicle for Business Use,7.56,86000,60
685,68000,Marketing and Advertising,6.9,66000,12
780,99000,Wedding Expenses,3.48,80000,72
735,13000,Childcare Expenses,4.54,12000,72
789,35000,Utility Payments,3.82,28000,24
679,84000,Community Projects,6.51,69000,24
615,13000,Healthcare Expenses,8.04,10000,60
642,39000,Emergency Business Funds,8.83,31000,12
736,59000,Agriculture Expenses,4.36,57000,60
834,49000,Training and Development,3.11,48000,36
720,67000,Agriculture Expenses,3.97,62000,60
611,63000,Working Capital,7.4,56000,12
669,56000,Social Enterprise,5.93,54000,24
824,53000,Education Fees,3.56,46000,60
649,95000,Business Expansion,9.0,82000,60
610,71000,Working Capital,7.88,59000,24
705,72000,Agriculture Expenses,5.36,60000,60
704,100000,Working Capital,4.35,85000,36
703,31000,Emergency Personal Funds,5.42,29000,48
821,80000,Agriculture Expenses,3.42,65000,48
662,100000,Utility Payments,5.61,94000,24
646,18000,Business Expansion,8.28,16000,72
759,58000,Social Enterprise,3.83,50000,24
803,88000,Marketing and Advertising,2.5,73000,12
616,17000,Marketing and Advertising,7.24,14000,24
678,57000,Utility Payments,6.23,47000,24
806,43000,Equipment Purchase,3.81,34000,24
724,67000,Equipment Purchase,4.83,54000,36
835,38000,Education Fees,2.73,30000,48
830,25000,Education Fees,2.74,22000,60
833,78000,Working Capital,3.65,68000,24
749,50000,Wedding Expenses,4.42,43000,72
840,82000,Inventory Purchase,3.71,67000,36
675,58000,Inventory Purchase,6.02,56000,36
844,29000,Marketing and Advertising,3.69,26000,36
602,88000,Technology Upgrade,7.49,84000,24
768,88000,Inventory Purchase,3.23,72000,36
798,90000,Wedding Expenses,3.89,89000,60
634,5000,Vehicle for Business Use,7.8,4000,60
624,26000,Inventory Purchase,7.73,24000,24
733,18000,Emergency Personal Funds,5.07,16000,60
602,59000,Inventory Purchase,7.98,53000,12
623,53000,Home Renovation,7.17,45000,48
740,22000,Social Enterprise,4.16,20000,12
788,11000,Healthcare Expenses,3.8,9000,48
668,39000,Social Enterprise,6.12,34000,12
836,66000,Agriculture Expenses,3.86,60000,72
725,98000,Wedding Expenses,4.74,78000,60
637,83000,Working Capital,8.45,75000,12
797,19000,Wedding Expenses,3.87,17000,60
837,93000,Green Initiatives,3.38,78000,24
624,95000,Working Capital,8.31,82000,12
690,41000,Green Initiatives,5.51,36000,36
795,29000,Wedding Expenses,3.63,28000,72
692,44000,Business Expansion,5.66,36000,72
650,98000,Debt Consolidation,6.86,94000,72
761,61000,Education Fees,3.56,54000,72
848,76000,Emergency Business Funds,3.82,66000,12
676,57000,Green Initiatives,6.33,45000,12
725,14000,Utility Payments,5.12,12000,12
804,26000,Debt Consolidation,3.82,25000,60
622,86000,Green Initiatives,8.8,73000,12
771,69000,Wedding Expenses,3.1,56000,48
752,15000,Emergency Personal Funds,2.99,12000,72
717,41000,Green Initiatives,4.11,34000,12
763,53000,Social Enterprise,3.43,51000,24
653,62000,Business Expansion,6.23,56000,48
687,33000,Emergency Personal Funds,5.77,32000,60
773,46000,Healthcare Expenses,3.31,39000,72
766,77000,Healthcare Expenses,2.94,74000,48
838,34000,Business Expansion,2.92,28000,60
844,15000,Equipment Purchase,3.08,13000,36
707,97000,Wedding Expenses,5.23,77000,72
827,29000,Childcare Expenses,2.8,23000,72
706,16000,Utility Payments,5.14,13000,36
640,49000,Inventory Purchase,8.88,41000,12
640,68000,Healthcare Expenses,8.55,65000,72
721,49000,Equipment Purchase,4.15,47000,24
800,74000,Education Fees,3.28,62000,72
840,67000,Business Expansion,3.62,62000,72
817,45000,Social Enterprise,2.74,44000,12
840,13000,Technology Upgrade,2.62,11000,24
610,33000,Technology Upgrade,7.1,26000,36
690,77000,Social Enterprise,5.85,66000,36
755,52000,Green Initiatives,3.29,49000,24
676,20000,Equipment Purchase,6.4,17000,12
673,66000,Social Enterprise,6.19,55000,12
713,8000,Community Projects,4.1,6000,36
625,62000,Technology Upgrade,8.17,51000,36
614,89000,Travel Costs,8.6,73000,72
795,6000,Marketing and Advertising,3.68,5000,12
696,68000,Utility Payments,6.81,61000,12
666,10000,Childcare Expenses,5.76,8000,60
662,61000,Wedding Expenses,6.8,54000,72
733,53000,Healthcare Expenses,4.65,51000,48
773,96000,Debt Consolidation,2.97,95000,48
680,12000,Green Initiatives,6.37,11000,36
642,9000,Community Projects,7.59,7000,12
722,40000,Healthcare Expenses,5.25,37000,48
710,55000,Agriculture Expenses,4.35,47000,72
771,93000,Startup Capital,2.69,91000,36
646,83000,Green Initiatives,7.5,76000,36
763,26000,Business Expansion,3.07,25000,60
690,85000,Training and Development,6.83,70000,12
642,65000,Emergency Business Funds,8.12,60000,36
637,31000,Healthcare Expenses,8.17,30000,48
680,95000,Inventory Purchase,5.7,93000,24
676,88000,Wedding Expenses,6.05,71000,60
750,69000,Inventory Purchase,3.44,67000,36
836,70000,Training and Development,3.8,66000,12
690,64000,Home Renovation,6.69,56000,72
647,63000,Business Expansion,7.22,60000,48
827,70000,Debt Consolidation,3.06,63000,48
799,63000,Home Renovation,3.77,58000,60
634,87000,Green Initiatives,8.95,85000,12
661,38000,Training and Development,6.49,36000,24
719,8000,Emergency Personal Funds,5.45,7000,60
674,86000,Agriculture Expenses,5.67,72000,60
608,8000,Equipment Purchase,8.51,7000,24
637,53000,Debt Consolidation,7.68,42000,72
624,53000,Home Renovation,8.17,51000,72
767,81000,Working Capital,2.77,77000,12
644,48000,Vehicle for Business Use,7.17,45000,60
650,87000,Green Initiatives,6.03,85000,12
661,28000,Vehicle for Business Use,6.36,25000,48
757,77000,Wedding Expenses,2.72,76000,48
646,68000,Wedding Expenses,7.83,55000,60
695,72000,Training and Development,5.87,60000,12
709,82000,Vehicle for Business Use,4.84,80000,72
848,13000,Emergency Business Funds,2.6,11000,24
610,80000,Utility Payments,7.48,76000,24
754,10000,Emergency Business Funds,3.54,9000,24
744,40000,Inventory Purchase,5.4,33000,12
761,70000,Social Enterprise,2.8,62000,36
843,11000,Emergency Personal Funds,2.84,10000,72
730,66000,Emergency Personal Funds,4.42,56000,72
776,43000,Working Capital,3.23,37000,36
700,64000,Education Fees,4.24,60000,48
687,22000,Home Renovation,5.52,19000,48
806,45000,Wedding Expenses,3.16,44000,60
842,75000,Social Enterprise,2.98,74000,36
791,82000,Equipment Purchase,3.07,67000,24
754,18000,Marketing and Advertising,2.86,15000,12
690,88000,Marketing and Advertising,5.53,86000,36
812,87000,Community Projects,3.4,84000,12
707,83000,Social Enterprise,4.92,72000,12
688,43000,Emergency Business Funds,5.98,36000,12
689,67000,Technology Upgrade,6.75,59000,24
836,88000,Equipment Purchase,2.71,76000,36
849,60000,Inventory Purchase,3.35,55000,12
693,56000,Social Enterprise,6.61,49000,12
601,12000,Marketing and Advertising,7.09,11000,24
649,8000,Home Renovation,7.64,6000,72
678,35000,Travel Costs,6.12,34000,72
612,24000,Debt Consolidation,7.96,20000,48
679,86000,Vehicle for Business Use,6.92,73000,72
709,31000,Technology Upgrade,4.53,25000,24
714,66000,Emergency Business Funds,3.99,62000,12
721,17000,Childcare Expenses,4.8,14000,72
796,21000,Inventory Purchase,3.77,19000,24
799,12000,Utility Payments,3.74,10000,24
611,16000,Equipment Purchase,8.05,13000,24
680,11000,Emergency Business Funds,5.8,10000,12
827,79000,Vehicle for Business Use,3.76,74000,48
691,76000,Startup Capital,5.7,69000,36
669,54000,Childcare Expenses,6.53,45000,72
703,96000,Agriculture Expenses,5.18,92000,60
755,35000,Wedding Expenses,3.24,32000,48
844,81000,Training and Development,2.8,70000,12
621,62000,Community Projects,7.68,53000,24
646,99000,Emergency Personal Funds,7.1,87000,72
720,46000,Training and Development,4.12,41000,36
768,48000,Social Enterprise,3.28,40000,12
661,84000,Community Projects,6.48,68000,24
672,18000,Healthcare Expenses,6.26,15000,60
724,50000,Marketing and Advertising,4.01,42000,12
755,73000,Marketing and Advertising,2.95,59000,12
807,55000,Equipment Purchase,3.87,54000,24
712,88000,Healthcare Expenses,4.64,87000,72
791,38000,Technology Upgrade,3.52,37000,24
650,35000,Marketing and Advertising,6.57,30000,24
656,38000,Marketing and Advertising,6.81,35000,36
794,79000,Equipment Purchase,3.84,77000,24
726,94000,Emergency Personal Funds,4.71,92000,60
685,48000,Utility Payments,6.48,44000,36
757,84000,Travel Costs,3.23,79000,48
696,24000,Social Enterprise,5.9,19000,24
813,27000,Marketing and Advertising,3.61,26000,24
832,10000,Inventory Purchase,2.82,9000,12
786,11000,Travel Costs,3.72,9000,60
706,65000,Technology Upgrade,5.21,58000,36
628,78000,Healthcare Expenses,7.96,75000,72
687,11000,Working Capital,5.95,10000,12
786,59000,Marketing and Advertising,3.27,50000,12
606,55000,Emergency Personal Funds,6.98,46000,72
842,25000,Agriculture Expenses,3.54,21000,72
624,42000,Utility Payments,8.21,39000,24
671,87000,Childcare Expenses,5.59,77000,72
760,76000,Community Projects,3.73,67000,12
725,80000,Childcare Expenses,5.06,64000,48
628,24000,Healthcare Expenses,8.93,22000,48
697,23000,Home Renovation,6.67,19000,60
708,98000,Debt Consolidation,5.06,88000,72
629,47000,Business Expansion,8.55,43000,48
787,50000,Utility Payments,3.18,49000,36
756,20000,Debt Consolidation,2.46,17000,72
833,35000,Equipment Purchase,3.32,28000,24
832,55000,Education Fees,3.39,46000,72
780,60000,Social Enterprise,3.13,53000,24
770,8000,Childcare Expenses,3.35,7000,48
713,39000,Community Projects,4.56,31000,36
715,23000,Equipment Purchase,4.99,19000,12
820,39000,Training and Development,3.65,38000,24
813,12000,Community Projects,2.68,10000,24
634,80000,Startup Capital,7.71,76000,36
792,13000,Community Projects,3.94,10000,12
820,35000,Training and Development,3.0,29000,36
697,11000,Wedding Expenses,6.27,9000,48
772,51000,Training and Development,3.73,41000,24
771,34000,Social Enterprise,2.5,33000,24
738,28000,Education Fees,5.0,26000,72
739,76000,Education Fees,4.79,66000,72
659,12000,Education Fees,6.09,9000,60
677,77000,Childcare Expenses,5.67,71000,60
798,32000,Business Expansion,3.77,25000,48
647,14000,Technology Upgrade,7.54,12000,24
845,13000,Education Fees,2.83,12000,60
832,57000,Training and Development,3.78,55000,12
754,28000,Startup Capital,2.93,26000,36
714,81000,Business Expansion,4.89,70000,48
756,34000,Green Initiatives,3.42,30000,36
848,97000,Debt Consolidation,3.48,94000,72
776,19000,Travel Costs,2.69,17000,48
821,81000,Agriculture Expenses,2.77,69000,72
774,48000,Healthcare Expenses,2.72,41000,48
816,67000,Agriculture Expenses,3.71,64000,72
770,39000,Emergency Personal Funds,2.8,36000,60
847,82000,Social Enterprise,3.85,72000,12
644,56000,Emergency Business Funds,8.82,49000,24
752,31000,Agriculture Expenses,3.81,30000,60
800,21000,Agriculture Expenses,2.71,17000,60
613,62000,Startup Capital,8.7,56000,12
676,68000,Emergency Business Funds,5.74,56000,36
741,30000,Marketing and Advertising,4.24,25000,12
688,100000,Training and Development,5.96,82000,12
633,12000,Social Enterprise,8.35,9000,36
832,34000,Childcare Expenses,3.67,27000,72
674,24000,Utility Payments,5.71,23000,24
814,66000,Marketing and Advertising,3.18,59000,36
628,85000,Social Enterprise,8.55,72000,36
653,58000,Community Projects,5.77,51000,24
630,12000,Startup Capital,8.44,11000,36
772,97000,Vehicle for Business Use,3.12,93000,60
827,81000,Emergency Personal Funds,2.85,69000,48
630,70000,Agriculture Expenses,7.7,59000,60
651,73000,Wedding Expenses,6.71,64000,72
759,97000,Green Initiatives,3.66,92000,36
771,23000,Education Fees,3.14,18000,48
747,55000,Childcare Expenses,5.05,48000,60
664,69000,Home Renovation,6.04,66000,48
830,62000,Vehicle for Business Use,2.94,60000,60
789,88000,Technology Upgrade,3.78,78000,36
714,65000,Home Renovation,4.62,52000,72
846,5000,Business Expansion,3.33,4000,60
808,26000,Vehicle for Business Use,3.46,25000,60
806,99000,Healthcare Expenses,3.68,89000,72
755,81000,Vehicle for Business Use,3.74,73000,72
838,41000,Education Fees,3.08,36000,60
825,45000,Community Projects,3.11,38000,12
813,9000,Home Renovation,3.3,8000,60
612,29000,Working Capital,8.66,26000,12
731,7000,Childcare Expenses,4.82,6000,48
824,35000,Marketing and Advertising,3.35,28000,36
767,75000,Social Enterprise,2.7,63000,24
641,54000,Healthcare Expenses,6.99,52000,72
821,45000,Community Projects,2.64,39000,36
729,37000,Emergency Business Funds,5.14,31000,24
675,12000,Vehicle for Business Use,6.73,11000,48
807,36000,Healthcare Expenses,3.0,31000,48
612,90000,Equipment Purchase,8.76,84000,24
631,6000,Business Expansion,7.03,5000,60
615,53000,Debt Consolidation,7.27,49000,72
613,10000,Wedding Expenses,8.21,9000,60
687,98000,Home Renovation,5.66,80000,48
823,47000,Working Capital,2.9,46000,12
757,99000,Green Initiatives,2.84,92000,36
698,67000,Home Renovation,6.67,58000,60
683,17000,Emergency Business Funds,6.53,14000,36
759,79000,Emergency Personal Funds,4.0,72000,60
824,33000,Inventory Purchase,3.9,31000,12
763,39000,Home Renovation,3.27,37000,60
850,62000,Emergency Business Funds,3.38,54000,36
605,83000,Technology Upgrade,8.46,81000,24
